,Streams,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,Score,duration
580,18989,0.0479,0.773,0.81,4.45e-06,2,0.271,-5.171,0,0.116,112.002,4,0.5670000000000001,-1.507653860748506,283.0
581,171171,0.8640000000000001,0.618,0.308,1.08e-06,6,0.172,-9.799,0,0.0275,99.861,4,0.753,-0.4947930277976474,52.0
582,5696996,0.034,0.644,0.743,0.0,5,0.257,-5.002,0,0.0355,123.074,4,0.544,1.5905579768560427,203.0
583,73596,0.0383,0.503,0.619,0.0,5,0.292,-8.485,0,0.265,126.005,4,0.264,-0.791666915869611,264.0
584,33527,0.142,0.7559999999999999,0.8240000000000001,0.0,7,0.188,-6.419,0,0.0604,130.07299999999998,4,0.527,-1.1295172163425482,151.0
585,622983,0.17,0.944,0.648,2.38e-06,10,0.14400000000000002,-7.582000000000002,0,0.0805,111.991,4,0.493,0.30676324079444783,189.0
586,67572,0.595,0.6859999999999999,0.457,0.0,11,0.105,-8.322000000000001,1,0.0468,150.953,4,0.718,-0.7843457991548598,242.0
587,1036416,0.672,0.598,0.83,0.0,5,0.113,-3.923,0,0.154,120.053,4,0.752,0.6933389012572632,210.0
588,368295,0.0205,0.76,0.885,0.000942,7,0.0795,-4.107,1,0.0678,123.97,4,0.623,0.1415513895971861,195.0
589,56854,0.358,0.7609999999999999,0.7659999999999999,1.29e-05,7,0.208,-5.445,1,0.404,121.761,4,0.359,-1.109015835045882,254.0
590,3524900,0.602,0.531,0.622,0.0,11,0.118,-7.751,0,0.447,167.75799999999995,4,0.593,1.171583798344801,455.0
591,1298817,0.1,0.433,0.7240000000000001,0.0,5,0.0918,-6.126,0,0.0372,174.00599999999997,4,0.6890000000000001,0.7938159154257269,268.0
592,49839,0.0949,0.748,0.71,0.0,11,0.102,-5.63,1,0.265,112.844,4,0.0943,-0.6785698816077939,257.0
593,101608,0.698,0.5379999999999999,0.632,2.21e-06,9,0.109,-7.297999999999999,0,0.0421,79.913,4,0.513,-0.7443957762361195,184.0
594,88248,0.655,0.625,0.742,0.0,8,0.154,-5.631,1,0.603,140.184,4,0.513,-0.86401833344378,225.0
595,749610,0.155,0.522,0.7120000000000001,5.16e-06,10,0.17,-6.869,0,0.207,133.012,4,0.46,0.43205349093137274,197.0
596,24598,0.0182,0.835,0.7190000000000001,1.9e-05,5,0.127,-5.167000000000002,0,0.0559,119.946,4,0.532,-1.4576950320823219,242.0
597,24244,0.119,0.805,0.601,0.000129,0,0.0581,-9.7,0,0.0579,94.382,4,0.746,-1.336981829684811,239.0
598,9314316,0.3670000000000001,0.715,0.703,0.0,10,0.147,-6.687,0,0.165,88.47,3,0.569,1.7749821712398535,217.0
599,214658,0.0185,0.7040000000000001,0.8590000000000001,0.0,5,0.0215,-4.877,0,0.0996,105.115,4,0.926,-0.16783296568518014,217.0
600,177701,0.152,0.779,0.644,0.0,3,0.0604,-7.1370000000000005,0,0.0909,160.058,4,0.685,-0.36535071932538943,163.0
601,2377419,0.0111,0.8170000000000001,0.833,0.0126,6,0.0955,-6.4060000000000015,0,0.0638,146.029,4,0.399,1.1177893895559934,203.0
602,75417,0.257,0.682,0.7959999999999999,0.0,7,0.205,-6.272,1,0.306,149.997,4,0.278,-0.7473696172966559,213.0
603,61847,0.201,0.838,0.857,0.0,3,0.131,-4.545,0,0.101,111.017,4,0.868,-0.8358122012731624,205.0
604,38045,0.603,0.609,0.445,6.77e-06,7,0.104,-9.129,1,0.106,118.393,3,0.166,-0.9793108830140277,229.0
605,215329,0.507,0.389,0.434,4.28e-06,9,0.187,-7.091,0,0.0376,207.3,4,0.213,-0.03485309138302121,236.0
606,567342,0.495,0.618,0.867,0.0,6,0.302,-4.583,0,0.343,89.389,4,0.89,0.3933145715179751,292.0
607,17927,0.684,0.583,0.532,0.0,10,0.306,-7.11,0,0.0309,131.741,3,0.223,-1.51599881493104,288.0
608,576361,0.618,0.679,0.718,0.0,11,0.115,-6.113,0,0.278,136.136,4,0.507,0.3854492344903088,205.0
609,312355,0.0534,0.589,0.731,0.0,2,0.308,-6.343,1,0.0868,87.90799999999999,4,0.191,-0.08009384044149451,269.0
610,67023,0.211,0.7070000000000001,0.7979999999999999,0.008020000000000001,11,0.0775,-6.164,1,0.295,189.9,4,0.855,-0.937826285628544,200.0
611,46368,0.486,0.79,0.596,0.000303,8,0.116,-8.242,0,0.0299,116.022,4,0.894,-0.9496311805336732,226.0
612,1237875,0.17800000000000002,0.614,0.6759999999999999,0.0,5,0.132,-7.372000000000001,0,0.217,113.132,5,0.519,0.6185358803823369,202.0
613,21809,0.379,0.885,0.6970000000000001,0.0,2,0.0627,-7.866,1,0.104,115.031,4,0.414,-1.3634374427788758,237.0
614,2703923,0.215,0.63,0.804,0.0,6,0.253,-4.183,1,0.0363,123.146,4,0.4920000000000001,1.0888726907450703,220.0
615,676686,0.0507,0.5710000000000001,0.746,0.0,7,0.16899999999999998,-6.496,0,0.0935,174.03099999999995,4,0.606,0.46544511740169575,203.0
616,6876915,0.151,0.775,0.722,0.000724,1,0.058,-3.502,1,0.0463,124.037,4,0.649,1.6155006027217267,170.0
617,563095,0.264,0.813,0.733,0.0,6,0.0817,-6.007999999999999,0,0.0757,174.007,4,0.969,0.3074208976855472,210.0
618,1780128,0.526,0.5670000000000001,0.654,0.0,5,0.125,-6.3610000000000015,0,0.0913,120.111,5,0.711,0.9820228394833583,197.0
619,4928695,0.118,0.653,0.81,0.0,7,0.126,-6.032,0,0.0558,121.951,4,0.583,1.4911984415247663,189.0
620,39294,0.0291,0.6409999999999999,0.922,0.0,2,0.0862,-4.457,1,0.0786,146.078,4,0.847,-0.9056406958506958,258.0
621,6369041,0.0437,0.741,0.8909999999999999,0.0,7,0.256,-2.824,1,0.119,102.002,4,0.449,1.5985104277161646,221.0
622,1371508,0.0118,0.513,0.768,1.94e-05,4,0.294,-4.868,0,0.0587,84.264,4,0.235,0.8913711370395735,211.0
623,1721583,0.545,0.772,0.478,0.0,6,0.111,-8.123,0,0.434,150.076,4,0.442,0.8217234095930313,191.0
624,649020,0.362,0.7090000000000001,0.5429999999999999,0.0,3,0.0886,-8.056000000000001,1,0.0575,129.939,4,0.754,0.41547339686063234,228.0
625,138199,0.116,0.6609999999999999,0.5920000000000001,0.0,1,0.154,-5.118,1,0.614,123.985,4,0.328,-0.4470909753603481,189.0
626,871316,0.214,0.7559999999999999,0.617,4.64e-05,5,0.153,-8.552,0,0.0511,115.026,4,0.335,0.6070222866310492,211.0
627,10267127,0.119,0.64,0.5329999999999999,0.0,0,0.0864,-6.596,1,0.0706,99.968,4,0.515,1.870135261204495,221.0
628,121827,0.325,0.743,0.6729999999999999,0.0,11,0.0948,-5.377000000000002,1,0.17800000000000002,108.134,4,0.6609999999999999,-0.5905136806536069,235.0
629,7644082,0.0895,0.584,0.54,0.0,1,0.261,-7.786,0,0.0576,137.972,4,0.195,1.8401547513350984,221.0
630,29856,0.792,0.304,0.394,0.0118,0,0.16899999999999998,-11.161,1,0.0301,92.47,3,0.355,-1.472886629057553,170.0
631,18622,0.0271,0.44,0.8290000000000001,0.0,0,0.8759999999999999,-3.486,0,0.129,90.133,4,0.04,-1.4546034576490354,184.0
632,4706952,0.404,0.809,0.6409999999999999,3.76e-06,8,0.0859,-7.7429999999999986,0,0.196,136.93200000000002,4,0.54,1.445096428212405,220.0
633,325185,0.593,0.812,0.473,0.0,1,0.0781,-9.813,0,0.0676,123.953,4,0.354,-0.188384391172389,227.0
634,23737,0.501,0.512,0.6859999999999999,0.0,0,0.121,-6.019,0,0.409,85.542,4,0.639,-1.5132318168194863,129.0
635,53593,0.0834,0.5429999999999999,0.848,0.0,10,0.799,-6.058,0,0.0531,102.009,4,0.29,-0.8755118140250194,192.0
636,2287422,0.118,0.836,0.768,0.0,8,0.145,-5.362,1,0.108,122.022,4,0.639,0.9528743145585561,210.0
637,1749888,0.885,0.8240000000000001,0.6,1.73e-05,2,0.11,-8.187000000000001,1,0.315,139.981,4,0.507,0.8899990488184971,151.0
638,64168,0.835,0.609,0.378,0.0,4,0.28,-9.828,1,0.438,100.418,4,0.515,-0.7097302022092997,234.0
639,26063,0.467,0.752,0.565,0.0114,9,0.093,-9.139,0,0.0728,110.98,4,0.77,-1.4576950320823219,191.0
640,384482,0.353,0.846,0.7959999999999999,0.0,1,0.0882,-6.7570000000000014,1,0.29100000000000004,120.058,4,0.901,0.061115184775826156,204.0
641,183152,0.2,0.79,0.647,0.109,8,0.0766,-6.732,0,0.0375,105.012,4,0.7490000000000001,-0.2857394420377679,195.0
642,393320,0.46,0.863,0.809,0.0,6,0.113,-7.364,1,0.324,119.924,4,0.735,0.07441623618103109,276.0
643,19074,0.472,0.7290000000000001,0.7879999999999999,0.0,0,0.142,-5.33,0,0.135,120.032,4,0.5479999999999999,-1.4576950320823219,228.0
644,369176,0.114,0.947,0.642,0.0,1,0.0693,-7.3370000000000015,0,0.102,135.025,4,0.76,-0.1554653533163287,267.0
