,Streams,index,Artist,URL,id,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,Score
792,2661577,92,Soprano,https://open.spotify.com/track/6iwkDhmdFfXu9RpjXrgFhz,6iwkDhmdFfXu9RpjXrgFhz,0.20600000000000002,https://api.spotify.com/v1/audio-analysis/6iwkDhmdFfXu9RpjXrgFhz,0.731,268253,0.6659999999999999,0.0,5,0.12,-5.184,0,0.0401,119.929,4,https://api.spotify.com/v1/tracks/6iwkDhmdFfXu9RpjXrgFhz,audio_features,spotify:track:6iwkDhmdFfXu9RpjXrgFhz,0.14400000000000002,0.811577868852459
793,1049980,8512,Still Fresh,https://open.spotify.com/track/46P2kfhXGdwp3OJvl3INXu,46P2kfhXGdwp3OJvl3INXu,0.39299999999999996,https://api.spotify.com/v1/audio-analysis/46P2kfhXGdwp3OJvl3INXu,0.728,195850,0.742,0.0,5,0.11900000000000001,-5.382999999999999,0,0.251,96.948,4,https://api.spotify.com/v1/tracks/46P2kfhXGdwp3OJvl3INXu,audio_features,spotify:track:46P2kfhXGdwp3OJvl3INXu,0.231,0.3163841807909605
794,393938,128,Jul,https://open.spotify.com/track/127LVxx0WkxbCcZqp2LAEY,127LVxx0WkxbCcZqp2LAEY,0.183,https://api.spotify.com/v1/audio-analysis/127LVxx0WkxbCcZqp2LAEY,0.915,179781,0.757,0.00026000000000000003,0,0.09300000000000001,-8.004,0,0.14300000000000002,125.02600000000001,4,https://api.spotify.com/v1/tracks/127LVxx0WkxbCcZqp2LAEY,audio_features,spotify:track:127LVxx0WkxbCcZqp2LAEY,0.35700000000000004,0.13840434658278522
795,264659,53800,Hornet La Frappe,https://open.spotify.com/track/5h8dzFxWdKeLABCmUqAr5y,5h8dzFxWdKeLABCmUqAr5y,0.499,https://api.spotify.com/v1/audio-analysis/5h8dzFxWdKeLABCmUqAr5y,0.8540000000000001,179067,0.6829999999999999,0.0,5,0.145,-5.4079999999999995,0,0.0462,98.99600000000001,4,https://api.spotify.com/v1/tracks/5h8dzFxWdKeLABCmUqAr5y,audio_features,spotify:track:5h8dzFxWdKeLABCmUqAr5y,0.9620000000000001,0.06103993971363978
796,6375227,20561,Sofiane,https://open.spotify.com/track/0gn0krlJTSSZvnMxh2ITHY,0gn0krlJTSSZvnMxh2ITHY,0.0838,https://api.spotify.com/v1/audio-analysis/0gn0krlJTSSZvnMxh2ITHY,0.778,174227,0.815,0.0,11,0.237,-3.502,0,0.23800000000000002,101.926,4,https://api.spotify.com/v1/tracks/0gn0krlJTSSZvnMxh2ITHY,audio_features,spotify:track:0gn0krlJTSSZvnMxh2ITHY,0.723,1.781235750113999
797,117898,66802,Johnny Hallyday,https://open.spotify.com/track/64tADvWmaTyYv1qkYAaTiI,64tADvWmaTyYv1qkYAaTiI,0.23600000000000002,https://api.spotify.com/v1/audio-analysis/64tADvWmaTyYv1qkYAaTiI,0.46299999999999997,262707,0.44799999999999995,5.53e-06,0,0.19,-9.584,1,0.0296,115.68299999999999,4,https://api.spotify.com/v1/tracks/64tADvWmaTyYv1qkYAaTiI,audio_features,spotify:track:64tADvWmaTyYv1qkYAaTiI,0.18600000000000003,0.022792022792022793
798,68729,60772,Soprano,https://open.spotify.com/track/6askNd1HGYepJQaWF1A2yN,6askNd1HGYepJQaWF1A2yN,0.106,https://api.spotify.com/v1/audio-analysis/6askNd1HGYepJQaWF1A2yN,0.816,263280,0.644,0.0,10,0.237,-6.442,0,0.0485,122.04799999999999,4,https://api.spotify.com/v1/tracks/6askNd1HGYepJQaWF1A2yN,audio_features,spotify:track:6askNd1HGYepJQaWF1A2yN,0.736,0.016042780748663103
799,460320,35530,Jul,https://open.spotify.com/track/2HzJCYwtTXqrj72mE2hnEW,2HzJCYwtTXqrj72mE2hnEW,0.239,https://api.spotify.com/v1/audio-analysis/2HzJCYwtTXqrj72mE2hnEW,0.904,214147,0.5820000000000001,5.5e-05,2,0.133,-7.193,0,0.0522,127.99700000000001,4,https://api.spotify.com/v1/tracks/2HzJCYwtTXqrj72mE2hnEW,audio_features,spotify:track:2HzJCYwtTXqrj72mE2hnEW,0.735,0.1267605633802817
800,563095,35506,Jul,https://open.spotify.com/track/3akaKS6VFRCuMx0Ixfv3MZ,3akaKS6VFRCuMx0Ixfv3MZ,0.264,https://api.spotify.com/v1/audio-analysis/3akaKS6VFRCuMx0Ixfv3MZ,0.813,209533,0.733,0.0,6,0.0817,-6.007999999999999,0,0.0757,174.007,4,https://api.spotify.com/v1/tracks/3akaKS6VFRCuMx0Ixfv3MZ,audio_features,spotify:track:3akaKS6VFRCuMx0Ixfv3MZ,0.9690000000000001,0.16645859342488556
801,152480,65843,Dadju,https://open.spotify.com/track/6BszyWS4ajAdYCYvzex48W,6BszyWS4ajAdYCYvzex48W,0.146,https://api.spotify.com/v1/audio-analysis/6BszyWS4ajAdYCYvzex48W,0.69,199280,0.57,0.0,4,0.35,-6.513999999999999,0,0.139,88.95299999999999,4,https://api.spotify.com/v1/tracks/6BszyWS4ajAdYCYvzex48W,audio_features,spotify:track:6BszyWS4ajAdYCYvzex48W,0.254,0.03082614056720099
802,327014,60233,Kaaris,https://open.spotify.com/track/1NIVN6BYS2Ugca2qyWr3c2,1NIVN6BYS2Ugca2qyWr3c2,0.218,https://api.spotify.com/v1/audio-analysis/1NIVN6BYS2Ugca2qyWr3c2,0.782,228933,0.619,0.0,9,0.0894,-5.065,0,0.10800000000000001,125.945,4,https://api.spotify.com/v1/tracks/1NIVN6BYS2Ugca2qyWr3c2,audio_features,spotify:track:1NIVN6BYS2Ugca2qyWr3c2,0.244,0.07950310559006211
803,26734,42320,Kungs,https://open.spotify.com/track/1gaK2od5J8GX6KecOaWm4d,1gaK2od5J8GX6KecOaWm4d,0.0696,https://api.spotify.com/v1/audio-analysis/1gaK2od5J8GX6KecOaWm4d,0.6679999999999999,206316,0.807,0.0,9,0.0625,-4.681,0,0.0612,113.896,4,https://api.spotify.com/v1/tracks/1gaK2od5J8GX6KecOaWm4d,audio_features,spotify:track:1gaK2od5J8GX6KecOaWm4d,0.828,0.008928571428571428
804,7358515,33056,Axwell /\ Ingrosso,https://open.spotify.com/track/3PEgB3fkiojxms35ntsTgs,3PEgB3fkiojxms35ntsTgs,0.034,https://api.spotify.com/v1/audio-analysis/3PEgB3fkiojxms35ntsTgs,0.644,203000,0.743,0.0,5,0.257,-5.002,0,0.0355,123.074,4,https://api.spotify.com/v1/tracks/3PEgB3fkiojxms35ntsTgs,audio_features,spotify:track:3PEgB3fkiojxms35ntsTgs,0.544,2.2687500000000003
805,58265,6276,Sofiane,https://open.spotify.com/track/6sCbcdJxuqC358BDBWjhCE,6sCbcdJxuqC358BDBWjhCE,0.408,https://api.spotify.com/v1/audio-analysis/6sCbcdJxuqC358BDBWjhCE,0.955,347453,0.8140000000000001,0.0,1,0.14800000000000002,-4.356,0,0.342,117.073,4,https://api.spotify.com/v1/tracks/6sCbcdJxuqC358BDBWjhCE,audio_features,spotify:track:6sCbcdJxuqC358BDBWjhCE,0.606,0.017786561264822136
806,537556,59964,Migos,https://open.spotify.com/track/1YZfcVLbbJwfizR5cDOp3q,1YZfcVLbbJwfizR5cDOp3q,0.0519,https://api.spotify.com/v1/audio-analysis/1YZfcVLbbJwfizR5cDOp3q,0.9009999999999999,307660,0.529,0.0,2,0.179,-4.4430000000000005,1,0.191,138.003,4,https://api.spotify.com/v1/tracks/1YZfcVLbbJwfizR5cDOp3q,audio_features,spotify:track:1YZfcVLbbJwfizR5cDOp3q,0.146,0.12862078129152274
