,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
16,0.51,https://api.spotify.com/v1/audio-analysis/2D5HeB7Arf6IwCQCdoPBqE,0.851,264853,0.625,2D5HeB7Arf6IwCQCdoPBqE,0.0,5,0.113,-5.358,0,0.38,134.751,4,https://api.spotify.com/v1/tracks/2D5HeB7Arf6IwCQCdoPBqE,audio_features,spotify:track:2D5HeB7Arf6IwCQCdoPBqE,0.382
17,0.219,https://api.spotify.com/v1/audio-analysis/3A7qX2QjDlPnazUsRk5y0M,0.548,194897,0.65,3A7qX2QjDlPnazUsRk5y0M,0.0,8,0.225,-5.827,0,0.0591,144.937,4,https://api.spotify.com/v1/tracks/3A7qX2QjDlPnazUsRk5y0M,audio_features,spotify:track:3A7qX2QjDlPnazUsRk5y0M,0.557
18,0.446,https://api.spotify.com/v1/audio-analysis/2SDtyxvylPsho9gex9BuDc,0.522,217947,0.816,2SDtyxvylPsho9gex9BuDc,0.0,1,0.0572,-5.431,0,0.411,139.835,4,https://api.spotify.com/v1/tracks/2SDtyxvylPsho9gex9BuDc,audio_features,spotify:track:2SDtyxvylPsho9gex9BuDc,0.651
19,0.449,https://api.spotify.com/v1/audio-analysis/1xGAcy4F06Cp5m7AebsEBV,0.777,195798,0.556,1xGAcy4F06Cp5m7AebsEBV,0.0,6,0.136,-7.422,0,0.407,141.854,4,https://api.spotify.com/v1/tracks/1xGAcy4F06Cp5m7AebsEBV,audio_features,spotify:track:1xGAcy4F06Cp5m7AebsEBV,0.36
20,0.693,https://api.spotify.com/v1/audio-analysis/0pX9g1KkUaYU6NJxgXPCmS,0.813,241053,0.522,0pX9g1KkUaYU6NJxgXPCmS,9.64e-06,11,0.134,-9.934,1,0.255,129.986,4,https://api.spotify.com/v1/tracks/0pX9g1KkUaYU6NJxgXPCmS,audio_features,spotify:track:0pX9g1KkUaYU6NJxgXPCmS,0.341
21,0.223,https://api.spotify.com/v1/audio-analysis/1MSSiqvyt1X0RC5LGzjM57,0.733,258240,0.624,1MSSiqvyt1X0RC5LGzjM57,0.0,10,0.117,-6.86,0,0.214,145.123,4,https://api.spotify.com/v1/tracks/1MSSiqvyt1X0RC5LGzjM57,audio_features,spotify:track:1MSSiqvyt1X0RC5LGzjM57,0.268
22,0.139,https://api.spotify.com/v1/audio-analysis/3JKVkAwRbiKMLr5iapvk4b,0.956,181858,0.562,3JKVkAwRbiKMLr5iapvk4b,0.0,0,0.0563,-8.894,0,0.275,128.999,4,https://api.spotify.com/v1/tracks/3JKVkAwRbiKMLr5iapvk4b,audio_features,spotify:track:3JKVkAwRbiKMLr5iapvk4b,0.658
23,0.499,https://api.spotify.com/v1/audio-analysis/2fkeWbM6iqTw7oGHTYm2lw,0.621,186293,0.247,2fkeWbM6iqTw7oGHTYm2lw,0.0239,11,0.113,-12.291,0,0.0393,111.974,4,https://api.spotify.com/v1/tracks/2fkeWbM6iqTw7oGHTYm2lw,audio_features,spotify:track:2fkeWbM6iqTw7oGHTYm2lw,0.221
24,0.466,https://api.spotify.com/v1/audio-analysis/7DIFgt59SxjNITfr0c4Hym,0.775,218416,0.595,7DIFgt59SxjNITfr0c4Hym,0.0,9,0.141,-7.609,0,0.219,134.026,4,https://api.spotify.com/v1/tracks/7DIFgt59SxjNITfr0c4Hym,audio_features,spotify:track:7DIFgt59SxjNITfr0c4Hym,0.638
25,0.631,https://api.spotify.com/v1/audio-analysis/0myHuhA1FkppaClYHRoxX0,0.59,169160,0.676,0myHuhA1FkppaClYHRoxX0,1.38e-06,4,0.0977,-7.336,0,0.352,75.373,4,https://api.spotify.com/v1/tracks/0myHuhA1FkppaClYHRoxX0,audio_features,spotify:track:0myHuhA1FkppaClYHRoxX0,0.315
26,0.507,https://api.spotify.com/v1/audio-analysis/59VwowDb6GzzZbjfltYW9W,0.833,218383,0.802,59VwowDb6GzzZbjfltYW9W,0.0,1,0.0602,-3.89,1,0.28,143.966,4,https://api.spotify.com/v1/tracks/59VwowDb6GzzZbjfltYW9W,audio_features,spotify:track:59VwowDb6GzzZbjfltYW9W,0.355
27,0.29,https://api.spotify.com/v1/audio-analysis/7129iqBafaphfc3WPCGC0L,0.742,237300,0.479,7129iqBafaphfc3WPCGC0L,0.0,10,0.391,-5.83,1,0.0551,119.951,4,https://api.spotify.com/v1/tracks/7129iqBafaphfc3WPCGC0L,audio_features,spotify:track:7129iqBafaphfc3WPCGC0L,0.346
